12829;ASF Fourth Rear Hydraulic On
12830;ASF First Front Hydraulic On
12831;ASF Second Front Hydraulic On
12832;ASF Third Front Hydraulic On
12833;ASF Fourth Front Hydraulic On
12834;ASF Front Three Point Hitch On
12835;ASF Rear Three Point Hitch On
12836;ASF Front Power Take OffOn
12837;ASF Rear Power Take OffOn
12838;ASF Mowing On
12839;ASF Threshing On
12840;ASF Grain Releas Hopper On
12841;ASF Grain Tank 100 Proc
12842;ASF Grain Tank 70 Proc
12843;ASF Grain Tank Open
12844;ASF Unloader Drive On
12845;ASF Cleaning Fan Ctrl On
12846;ASF Thresh Drum Ctrl On
12847;ASF Straw Walker Is Clogged
12848;ASF Excessive Clearance Normal
12849;ASF Low Temp Drive Sys Hydr
12850;ASF High Temp Drive Sys Hydr
12851;ASF Ear Auger Speed Normal
12852;ASF GrainAugerSpeedNormal
12853;ASF Straw Chop Spd Below Norm
12854;ASF Straw Shak Spd Below Norm
12855;ASF Feeder Speed Below Norm
12856;ASF Straw Chopp Switched On
12857;ASF Corn Header Connected
12858;ASF Grain Header Connected
12859;ASF Feeder Reverse On
12860;ASF Hydr Pump Prs Flt Clogged
12861;ASF Adapter Press Filter Sens
12862;ASF Service2 Required Ind
12863;ASF Drain Filter Clogged Ind
12864;ASF Section1 Spraying
12865;ASF Section2 Spraying
12866;ASF Section3 Spraying
12867;ASF Section4 Spraying
12868;ASF Section5 Spraying
12869;ASF Section6 Spraying
12870;ASF Section7 Spraying
12871;ASF Section8 Spraying
12872;ASF Section9 Spraying
12873;USF Salt Disperser On
12874;USF Pouring Chemicals On
12875;USF Conveyor Belt On
12876;USF Salt Spreader Drv Wheel On
12877;USF Brushes On
12878;USF Vacuum Cleaner On
12879;USF Water Supply On
12880;USF Karcher On
12881;USF Liquid Pump On
12882;USF Unloading Hopper On
12883;USF Low Salt Lvl In Cont Ind
12884;USF Low Water Lvl In Cont Ind
12885;USF Chemicals On
12886;USF Compressor On
12887;USF Water Valve Opened
12888;USF Cabin Moved Up Status
12889;USF Cabin Moved Down Status
12890;USF Hydrcs Work Not Permitted
12891;CiSF Section1 Presence
12892;CiSF Section1 Filled
12893;CiSF Section1 Overfilled
12894;CiSF Section2 Presence
12895;CiSF Section2 Filled
12896;CiSF Section2 Overfilled
12897;CiSF Section3 Presence
12898;CiSF Section3 Filled
12899;CiSF Section3 Overfilled
12900;CiSF Section4 Presence
12901;CiSF Section4 Filled
12902;CiSF Section4 Overfilled
12903;CiSF Section5 Presence
12904;CiSF Section5 Filled
12905;CiSF Section5 Overfilled
12906;CiSF Section6 Presence
12907;CiSF Section6 Filled
12908;CiSF Section6 Overfilled
12909;CiSF Section7 Presence
12910;CiSF Section7 Filled
12911;CiSF Section7 Overfilled
12912;CiSF Section8 Presence
12913;CiSF Section8 Filled
12914;CiSF Section8 Overfilled
12915;Drive R Front R Door Opened
12916;ISF Hyd Sys Oil Filt Plugg Ind
12917;ISF Hydr Sys Low Press Ind
12918;ISF Hydr Oil Low Level Ind
12919;SSF Trunk Door Open Factr Rem
12920;Agricultural State Flags P4
12921;Utility State Flags P4
12922;Cistern State Flags P4
52;Tacho drive no card
70;PCB Temperature
155;Geofence zone 01
156;Geofence zone 02
157;Geofence zone 03
158;Geofence zone 04
159;Geofence zone 05
160;Geofence zone 06
161;Geofence zone 07
162;Geofence zone 08
163;Geofence zone 09
164;Geofence zone 10
165;Geofence zone 11
166;Geofence zone 12
167;Geofence zone 13
168;Geofence zone 14
169;Geofence zone 15
170;Geofence zone 16
171;Geofence zone 17
172;Geofence zone 18
173;Geofence zone 19
174;Geofence zone 20
177;Event Reserved01
327;Geofence zone 21
328;Geofence zone 22
329;Geofence zone 23
330;Geofence zone 24
331;Geofence zone 25
332;Geofence zone 26
333;Geofence zone 27
334;Geofence zone 28
335;Geofence zone 29
336;Geofence zone 30
337;Geofence zone 31
338;Geofence zone 32
339;Geofence zone 33
340;Geofence zone 34
341;Geofence zone 35
342;Geofence zone 36
343;Geofence zone 37
344;Geofence zone 38
345;Geofence zone 39
346;Geofence zone 40
347;Geofence zone 41
348;Geofence zone 42
349;Geofence zone 43
350;Geofence zone 44
351;Geofence zone 45
352;Geofence zone 46
353;Geofence zone 47
354;Geofence zone 48
355;Geofence zone 49
356;Geofence zone 50
550;Geofence zone 51
551;Geofence zone 52
552;Geofence zone 53
553;Geofence zone 54
554;Geofence zone 55
555;Geofence zone 56
556;Geofence zone 57
557;Geofence zone 58
558;Geofence zone 59
559;Geofence zone 60
